generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen
17,450,55,61,287,109,68
17,500,48,65,290,109,68
17,550,51,62,289,109,68
17,600,49,57,290,109,68
17,650,49,49,290,109,68
17,700,47,46,290,109,68
17,750,49,39,290,109,68
17,800,46,32,287,109,68
17,850,51,27,290,109,68
17,900,55,27,288,109,68
17,950,58,25,289,109,68
17,1000,59,26,290,109,68
18,0,100,50,300,109,68
18,50,95,51,276,100,51
18,100,111,54,262,117,54
18,150,113,57,252,117,57
18,200,109,63,238,117,64
18,250,104,55,231,117,64
18,300,103,56,230,117,64
18,350,109,60,228,117,64
18,400,100,61,220,117,64
18,450,96,50,215,117,64
18,500,85,53,231,117,64
18,550,80,54,231,117,64
18,600,72,53,252,117,64
18,650,64,51,256,117,64
18,700,65,49,282,117,64
18,750,64,47,290,117,64
18,800,55,42,289,117,64
18,850,47,40,290,117,64
18,900,44,36,290,117,64
18,950,52,36,290,117,64
18,1000,52,30,288,117,64
19,0,100,50,300,117,64
19,50,96,53,286,100,53
19,100,104,55,279,108,55
19,150,99,60,271,108,60
19,200,92,63,282,108,65
19,250,79,54,290,108,65
19,300,79,57,289,108,65
19,350,79,59,290,108,65
19,400,77,55,290,108,65
19,450,67,48,290,108,65
19,500,73,48,287,108,65
19,550,81,46,287,108,65
19,600,79,44,289,108,65
19,650,79,34,288,108,65
19,700,73,34,288,108,65
19,750,83,34,287,108,65
19,800,86,31,288,108,65
19,850,89,31,290,108,65
19,900,98,28,287,108,65
19,950,101,26,289,108,65
19,1000,90,24,290,108,65
20,0,100,50,300,108,65
20,50,106,51,272,106,51
20,100,123,55,247,123,55
20,150,111,62,235,125,62
20,200,98,71,233,125,71
20,250,84,68,238,125,76
20,300,76,68,256,125,76
20,350,63,73,265,125,76
20,400,53,77,283,125,77
20,450,41,65,289,125,79
20,500,41,63,290,125,79
20,550,38,57,290,125,79
20,600,43,53,289,125,79
20,650,41,39,290,125,79
20,700,47,34,289,125,79
20,750,49,31,290,125,79
20,800,54,27,289,125,79
20,850,51,24,290,125,79
20,900,56,22,290,125,79
20,950,57,20,290,125,79
20,1000,60,18,288,125,79
21,0,100,50,300,125,79
21,50,101,51,277,102,51
21,100,108,55,273,109,55
21,150,97,63,273,109,63
21,200,93,64,264,109,65
21,250,92,53,269,109,65
21,300,92,53,273,109,65
21,350,90,53,281,109,65
21,400,84,52,282,109,65
21,450,69,50,290,109,65
21,500,69,51,290,109,65
21,550,66,51,288,109,65
21,600,69,45,289,109,65
21,650,75,38,287,109,65
21,700,76,35,290,109,65
21,750,82,32,285,109,65
21,800,84,28,288,109,65
21,850,81,29,290,109,65
21,900,74,27,289,109,65
21,950,73,26,290,109,65
21,1000,72,27,290,109,65
22,0,100,50,300,109,65
22,50,83,55,290,100,55
22,100,72,58,288,100,58
22,150,66,64,290,100,64
22,200,52,67,290,100,67
22,250,33,56,290,100,67
22,300,22,55,290,100,67
22,350,14,53,290,100,67
22,400,10,44,290,100,67
22,450,8,31,290,100,67
22,500,7,25,290,100,67
22,550,6,17,290,100,67
22,600,4,13,290,100,67
22,650,3,4,290,100,67
22,700,4,3,290,100,67
22,750,4,2,290,100,67
22,800,4,1,290,100,67
22,850,4,0,290,100,67
22,900,3,0,290,100,67
22,950,4,0,290,100,67
22,1000,4,0,290,100,67
23,0,100,50,300,100,67
23,50,92,51,286,100,51
23,100,79,55,290,100,55
23,150,70,62,290,100,62
23,200,53,63,290,100,63
23,250,41,55,290,100,63
23,300,26,60,290,100,63
23,350,19,55,290,100,63
23,400,12,48,290,100,63
23,450,8,40,290,100,63
23,500,5,35,290,100,63
23,550,2,27,290,100,63
23,600,1,19,290,100,63
23,650,1,12,290,100,63
23,700,1,10,290,100,63
23,750,1,5,290,100,63
23,800,1,1,290,100,63
23,850,1,1,290,100,63
23,900,1,1,290,100,63
23,950,0,0,290,100,63
23,1000,0,0,290,100,63
24,0,100,50,300,100,63
24,50,97,53,279,100,53
24,100,95,57,290,104,57
24,150,79,67,290,104,67
24,200,56,71,290,104,71
24,250,48,58,290,104,72
24,300,32,60,290,104,72
24,350,26,57,290,104,72
24,400,13,54,290,104,72
24,450,9,42,290,104,72
24,500,5,42,290,104,72
24,550,4,37,290,104,72
24,600,3,28,290,104,72
24,650,3,16,290,104,72
24,700,3,12,290,104,72
24,750,3,8,290,104,72
24,800,3,6,290,104,72
24,850,3,2,290,104,72
24,900,2,1,290,104,72
24,950,2,0,290,104,72
24,1000,1,0,290,104,72
25,0,100,50,300,104,72
25,50,87,54,290,100,54
25,100,81,57,290,100,57
25,150,69,64,287,100,64
25,200,58,65,290,100,66
25,250,49,53,290,100,66
25,300,44,53,288,100,66
25,350,41,48,290,100,66
25,400,30,43,290,100,66
25,450,23,29,290,100,66
25,500,21,29,290,100,66
25,550,15,24,290,100,66
25,600,12,18,290,100,66
25,650,13,12,290,100,66
25,700,12,9,290,100,66
25,750,12,6,290,100,66
25,800,15,3,290,100,66
25,850,16,1,290,100,66
25,900,18,1,290,100,66
25,950,19,1,290,100,66
25,1000,23,0,290,100,66
26,0,100,50,300,100,66
26,50,97,52,278,100,52
26,100,94,59,274,101,59
26,150,91,67,272,101,67
26,200,75,74,288,101,75
26,250,64,59,289,101,76
26,300,58,65,290,101,76
26,350,54,64,290,101,76
26,400,43,65,290,101,76
26,450,38,56,290,101,76
26,500,35,56,290,101,76
26,550,30,51,290,101,76
26,600,25,43,290,101,76
26,650,21,40,290,101,76
26,700,22,32,290,101,76
26,750,16,27,290,101,76
26,800,13,22,290,101,76
26,850,12,18,290,101,76
26,900,14,14,290,101,76
26,950,11,11,290,101,76
26,1000,12,9,290,101,76
27,0,100,50,300,101,76
27,50,89,54,287,100,54
27,100,84,60,289,100,60
27,150,68,67,289,100,67
27,200,56,74,290,100,76
27,250,50,63,290,100,76
27,300,46,60,290,100,76
27,350,38,57,290,100,76
27,400,29,49,290,100,76
27,450,23,32,290,100,76
27,500,20,29,289,100,76
27,550,21,24,290,100,76
27,600,19,18,290,100,76
27,650,17,13,290,100,76
27,700,15,11,290,100,76
27,750,14,10,290,100,76
27,800,15,6,290,100,76
27,850,14,4,290,100,76
27,900,14,3,290,100,76
27,950,13,3,290,100,76
27,1000,11,2,290,100,76
28,0,100,50,300,100,76
28,50,87,55,284,100,55
28,100,95,58,285,100,58
28,150,78,68,290,100,68
28,200,64,76,290,100,76
28,250,56,66,290,100,76
28,300,45,68,290,100,76
28,350,37,68,290,100,76
28,400,29,63,290,100,76
28,450,27,40,290,100,76
28,500,25,35,290,100,76
28,550,22,30,290,100,76
28,600,23,27,288,100,76
28,650,21,20,290,100,76
28,700,20,20,290,100,76
28,750,21,14,290,100,76
28,800,18,11,290,100,76
28,850,17,6,290,100,76
28,900,14,5,290,100,76
28,950,16,4,290,100,76
28,1000,17,3,290,100,76
29,0,100,50,300,100,76
29,50,89,55,289,100,55
29,100,81,60,290,100,60
29,150,67,66,290,100,66
29,200,64,72,290,100,72
29,250,49,61,290,100,72
29,300,45,62,290,100,72
29,350,42,55,290,100,72
29,400,42,53,290,100,72
29,450,33,37,290,100,72
29,500,34,36,290,100,72
29,550,29,32,290,100,72
29,600,31,29,290,100,72
29,650,27,24,290,100,72
29,700,27,21,290,100,72
29,750,25,18,290,100,72
29,800,27,18,290,100,72
29,850,29,14,290,100,72
29,900,28,13,290,100,72
29,950,30,10,290,100,72
29,1000,32,10,290,100,72
30,0,100,50,300,100,72
30,50,96,52,273,100,52
30,100,98,57,260,102,57
30,150,79,66,260,102,66
30,200,65,75,282,102,75
30,250,57,66,289,102,76
30,300,53,70,290,102,76
30,350,49,70,288,102,76
30,400,40,67,289,102,76
30,450,34,63,290,102,76
30,500,33,63,290,102,76
30,550,27,55,290,102,76
30,600,22,49,290,102,76
30,650,21,42,290,102,76
30,700,20,32,290,102,76
30,750,18,27,290,102,76
30,800,18,20,290,102,76
30,850,19,15,290,102,76
30,900,21,14,290,102,76
30,950,20,9,290,102,76
30,1000,23,5,290,102,76
31,0,100,50,300,102,76
31,50,86,54,283,100,54
31,100,89,57,287,100,57
31,150,82,66,285,100,66
31,200,74,73,290,100,73
31,250,64,66,289,100,74
31,300,65,65,290,100,74
31,350,57,68,290,100,74
31,400,57,62,290,100,74
31,450,55,47,289,100,74
31,500,49,47,290,100,74
31,550,40,49,290,100,74
31,600,39,43,290,100,74
31,650,40,38,290,100,74
31,700,42,34,290,100,74
31,750,40,27,289,100,74
31,800,44,24,290,100,74
31,850,45,22,290,100,74
31,900,44,23,290,100,74
31,950,44,20,290,100,74
31,1000,46,19,290,100,74
32,0,100,50,300,100,74
32,50,94,50,281,100,50
32,100,98,55,273,102,55
32,150,88,63,277,102,63
32,200,72,72,290,102,72
32,250,56,63,290,102,72
32,300,50,65,290,102,72
32,350,42,64,290,102,72
32,400,31,64,290,102,72
32,450,28,51,290,102,72
32,500,23,51,290,102,72
32,550,19,49,290,102,72
32,600,14,40,290,102,72
32,650,14,25,290,102,72
32,700,10,20,290,102,72
32,750,10,17,290,102,72
32,800,8,11,290,102,72
32,850,8,8,290,102,72
32,900,9,6,290,102,72
32,950,8,5,290,102,72
32,1000,6,4,290,102,72
33,0,100,50,300,102,72
33,50,93,53,280,100,53
33,100,93,57,279,100,57
33,150,90,62,289,100,62
33,200,76,69,289,100,69
33,250,69,57,290,100,69
33,300,62,61,290,100,69
33,350,58,62,290,100,69
33,400,44,62,290,100,69
33,450,45,50,289,100,69
33,500,32,46,290,100,69
33,550,25,45,290,100,69
33,600,19,34,290,100,69
33,650,15,32,290,100,69
33,700,15,31,290,100,69
33,750,13,25,290,100,69
33,800,11,19,290,100,69
33,850,10,14,290,100,69
33,900,11,11,290,100,69
33,950,12,11,290,100,69
33,1000,14,8,290,100,69
34,0,100,50,300,100,69
34,50,87,54,282,100,54
34,100,96,56,282,100,56
34,150,95,63,284,100,63
34,200,85,67,285,100,69
34,250,69,64,290,100,71
34,300,50,67,288,100,71
34,350,43,69,290,100,71
34,400,33,71,290,100,71
34,450,29,62,290,100,71
34,500,26,59,290,100,71
34,550,22,55,290,100,71
34,600,18,46,290,100,71
34,650,13,37,290,100,71
34,700,10,27,290,100,71
34,750,11,24,290,100,71
34,800,9,22,290,100,71
34,850,9,14,290,100,71
34,900,11,12,290,100,71
34,950,10,10,290,100,71
34,1000,12,7,290,100,71
35,0,100,50,300,100,71
35,50,93,52,278,100,52
35,100,105,56,269,110,56
35,150,105,60,272,110,60
35,200,99,64,269,110,64
35,250,98,53,271,110,64
35,300,91,55,278,110,64
35,350,93,57,278,110,64
35,400,83,57,287,110,64
35,450,79,47,290,110,64
35,500,72,49,289,110,64
35,550,70,49,290,110,64
35,600,62,45,290,110,64
35,650,59,37,290,110,64
35,700,58,33,290,110,64
35,750,40,33,290,110,64
35,800,38,32,290,110,64
35,850,32,30,290,110,64
35,900,31,26,290,110,64
35,950,28,23,290,110,64
35,1000,30,20,290,110,64
36,0,100,50,300,110,64
36,50,95,53,270,100,53
36,100,107,56,252,108,56
36,150,108,62,240,110,62
36,200,107,69,233,113,69
36,250,95,60,238,113,70
36,300,90,65,250,113,70
36,350,78,67,265,113,70
36,400,69,67,278,113,70
36,450,59,63,290,113,70
36,500,44,62,290,113,70
36,550,46,59,290,113,70
36,600,39,53,290,113,70
36,650,41,47,290,113,70
36,700,39,38,290,113,70
36,750,39,30,290,113,70
36,800,43,25,290,113,70
36,850,45,21,290,113,70
36,900,50,20,289,113,70
36,950,56,21,290,113,70
36,1000,61,18,290,113,70
37,0,100,50,300,113,70
37,50,84,53,280,100,53
37,100,85,59,275,100,59
37,150,79,66,288,100,66
37,200,76,71,285,100,71
37,250,66,62,290,100,71
37,300,67,68,290,100,71
37,350,64,64,290,100,71
37,400,51,66,289,100,71
37,450,40,62,290,100,71
37,500,33,61,290,100,71
37,550,26,56,290,100,71
37,600,22,50,290,100,71
37,650,17,42,290,100,71
37,700,13,35,290,100,71
37,750,14,32,290,100,71
37,800,14,26,290,100,71
37,850,15,18,290,100,71
37,900,17,11,290,100,71
37,950,18,8,290,100,71
37,1000,22,3,290,100,71
38,0,100,50,300,100,71
38,50,97,52,272,100,52
38,100,109,58,247,109,58
38,150,110,62,254,111,62
38,200,105,62,255,111,66
38,250,102,51,246,111,66
38,300,103,57,243,111,66
38,350,99,60,236,111,66
38,400,92,56,240,111,66
38,450,81,56,257,111,66
38,500,72,56,269,111,66
38,550,68,57,276,111,66
38,600,58,56,290,111,66
38,650,58,53,290,111,66
38,700,50,49,290,111,66
38,750,50,41,289,111,66
38,800,45,35,290,111,66
38,850,43,31,290,111,66
38,900,37,25,290,111,66
38,950,33,22,290,111,66
38,1000,30,17,290,111,66
39,0,100,50,300,111,66
39,50,94,54,270,100,54
39,100,103,61,257,106,61
39,150,93,67,255,106,67
39,200,82,74,261,106,74
39,250,73,68,280,106,75
39,300,63,73,290,106,75
39,350,61,70,290,106,75
39,400,58,68,289,106,75
39,450,53,58,290,106,75
39,500,46,57,290,106,75
39,550,40,52,290,106,75
39,600,32,48,290,106,75
39,650,33,39,290,106,75
39,700,28,33,290,106,75
39,750,23,30,290,106,75
39,800,20,25,290,106,75
39,850,19,20,290,106,75
39,900,26,18,290,106,75
39,950,29,16,290,106,75
39,1000,27,12,290,106,75
40,0,100,50,300,106,75
40,50,84,56,276,100,56
40,100,92,64,269,100,64
40,150,80,71,271,100,71
40,200,76,77,276,100,77
40,250,75,66,284,100,77
40,300,62,68,290,100,77
40,350,51,64,290,100,77
40,400,44,63,290,100,77
40,450,30,58,290,100,77
40,500,25,57,290,100,77
40,550,21,52,290,100,77
40,600,20,41,290,100,77
40,650,22,27,290,100,77
40,700,23,20,290,100,77
40,750,21,17,290,100,77
40,800,16,17,290,100,77
40,850,20,14,290,100,77
40,900,23,12,290,100,77
40,950,21,10,290,100,77
40,1000,23,9,290,100,77
41,0,100,50,300,100,77
41,50,96,52,271,100,52
41,100,99,59,264,104,59
41,150,91,71,265,104,71
41,200,85,72,271,104,74
41,250,87,62,268,104,74
41,300,82,63,273,104,74
41,350,68,64,288,104,74
41,400,57,60,290,104,74
41,450,53,55,289,104,74
41,500,44,55,290,104,74
41,550,32,52,290,104,74
41,600,27,48,290,104,74
41,650,24,45,290,104,74
41,700,24,45,290,104,74
41,750,31,36,288,104,74
41,800,35,20,290,104,74
41,850,36,16,290,104,74
41,900,34,12,290,104,74
41,950,39,11,290,104,74
41,1000,47,11,290,104,74
42,0,100,50,300,104,74
42,50,104,50,277,104,50
42,100,110,54,266,115,54
42,150,92,65,273,115,65
42,200,77,70,288,115,71
42,250,62,66,290,115,72
42,300,55,70,290,115,72
42,350,46,69,290,115,72
42,400,32,64,290,115,72
42,450,33,59,290,115,72
42,500,28,58,290,115,72
42,550,26,53,290,115,72
42,600,23,44,290,115,72
42,650,27,36,290,115,72
42,700,22,30,290,115,72
42,750,23,20,290,115,72
42,800,27,12,290,115,72
42,850,26,10,290,115,72
42,900,28,9,290,115,72
42,950,25,9,290,115,72
42,1000,25,8,290,115,72
43,0,100,50,300,115,72
43,50,96,52,270,100,52
43,100,89,60,257,103,60
43,150,83,66,265,103,66
43,200,63,72,283,103,72
43,250,51,69,290,103,74
43,300,42,71,290,103,74
43,350,33,73,290,103,74
43,400,29,70,289,103,74
43,450,25,58,290,103,74
43,500,17,54,290,103,74
43,550,11,46,290,103,74
43,600,11,39,290,103,74
43,650,9,25,290,103,74
43,700,7,22,290,103,74
43,750,8,19,290,103,74
43,800,8,12,290,103,74
43,850,7,10,290,103,74
43,900,4,7,290,103,74
43,950,3,5,290,103,74
43,1000,3,2,290,103,74
44,0,100,50,300,103,74
44,50,92,53,275,100,53
44,100,103,56,250,103,56
44,150,89,67,247,103,67
44,200,75,80,255,103,80
44,250,63,73,266,103,81
44,300,52,79,273,103,81
44,350,40,86,290,103,86
44,400,33,83,290,103,86
44,450,25,76,290,103,86
44,500,15,71,290,103,86
44,550,11,65,290,103,86
44,600,11,51,290,103,86
