generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen,BestPreyFit,BestPredFit
5,250,150,88,250,150,88,130,100
5,300,148,100,250,150,100,150,120
5,350,146,100,250,150,100,160,150
5,400,138,100,250,150,100,190,150
5,450,128,100,250,150,100,210,180
5,500,134,100,250,150,100,240,180
5,550,130,99,250,150,100,250,190
5,600,113,100,250,150,100,250,190
5,650,107,100,250,150,100,280,190
5,700,91,100,250,150,100,310,190
5,750,75,100,250,150,100,340,190
5,800,70,100,250,150,100,360,210
5,850,59,100,250,150,100,370,220
5,900,52,99,250,150,100,390,230
5,950,54,100,250,150,100,390,230
5,1000,44,100,250,150,100,420,240
5,1050,44,100,250,150,100,450,240
5,1100,41,96,250,150,100,460,240
5,1150,38,91,250,150,100,460,240
5,1200,39,89,250,150,100,490,250
5,1250,40,85,250,150,100,510,260
5,1300,44,85,250,150,100,540,270
5,1350,43,84,250,150,100,550,270
5,1400,41,76,250,150,100,580,280
5,1450,32,77,250,150,100,580,280
5,1500,25,72,250,150,100,600,280
5,1550,25,71,250,150,100,610,280
5,1600,19,73,250,150,100,630,280
5,1650,16,75,250,150,100,630,290
5,1700,12,75,250,150,100,640,290
5,1750,12,68,250,150,100,650,290
5,1800,14,63,250,150,100,680,290
5,1850,12,55,250,150,100,710,290
5,1900,15,51,250,150,100,710,290
5,1950,12,45,250,150,100,740,300
5,2000,17,40,250,150,100,770,300
5,2050,23,34,250,150,100,790,300
5,2100,31,32,250,150,100,820,300
5,2150,35,27,250,150,100,830,300
5,2200,44,23,250,150,100,880,310
5,2250,59,20,250,150,100,890,310
5,2300,67,22,250,150,100,920,310
5,2350,75,24,250,150,100,940,310
5,2400,82,25,250,150,100,940,310
5,2450,93,27,250,150,100,950,310
5,2500,104,25,250,150,100,970,310
5,2550,109,29,250,150,100,980,310
5,2600,114,34,250,150,100,980,330
5,2650,117,39,250,150,100,1010,340
5,2700,119,46,250,150,100,1060,360
5,2750,130,53,250,150,100,1070,370
5,2800,146,58,250,150,100,1100,370
5,2850,149,66,250,150,100,1150,370
5,2900,147,72,250,150,100,1160,380
5,2950,150,79,250,150,100,1160,380
5,3000,146,86,250,150,100,1190,390
6,0,100,50,250,100,50
6,0,100,50,250,100,50
6,50,95,52,250,100,52,40,30
6,100,110,60,250,110,60,70,60
6,150,127,73,250,130,73,70,80
6,200,136,88,250,139,88,100,90
6,250,132,100,250,139,100,130,100
6,300,130,100,250,139,100,150,130
6,350,126,100,250,139,100,160,150
6,400,125,99,250,139,100,180,180
6,450,111,100,250,139,100,210,180
6,500,100,100,250,139,100,220,180
6,550,86,100,250,139,100,250,200
6,600,84,100,250,139,100,270,200
6,650,69,100,250,139,100,280,200
6,700,55,100,250,139,100,280,210
6,750,46,100,250,139,100,300,210
6,800,38,100,250,139,100,310,210
6,850,30,100,250,139,100,310,210
6,900,23,98,250,139,100,340,210
6,950,17,96,250,139,100,390,210
6,1000,13,92,250,139,100,430,210
6,1050,11,90,250,139,100,460,210
6,1100,10,87,250,139,100,480,210
6,1150,7,85,250,139,100,480,210
6,1200,5,81,250,139,100,490,210
6,1250,6,65,250,139,100,490,210
6,1300,7,54,250,139,100,520,210
6,1350,7,41,250,139,100,520,210
6,1400,7,38,250,139,100,550,210
6,1450,7,30,250,139,100,580,200
6,1500,9,23,250,139,100,610,190
6,1550,10,19,250,139,100,630,210
6,1600,10,19,250,139,100,660,230
6,1650,12,16,250,139,100,690,230
6,1700,11,14,250,139,100,720,250
6,1750,13,14,250,139,100,730,250
6,1800,19,14,250,139,100,760,250
6,1850,21,11,250,139,100,790,260
6,1900,24,12,250,139,100,820,280
6,1950,34,10,250,139,100,850,300
6,2000,45,8,250,139,100,880,300
6,2050,50,9,250,139,100,900,330
6,2100,58,9,250,139,100,910,330
6,2150,70,7,250,139,100,940,330
6,2200,83,7,250,139,100,960,330
6,2250,100,7,250,139,100,1000,370
6,2300,115,9,250,139,100,1030,380
6,2350,135,11,250,139,100,1050,380
6,2400,150,12,250,150,100,1080,380
6,2450,149,16,250,150,100,1110,380
6,2500,149,19,250,150,100,1120,400
6,2550,150,21,250,150,100,1140,410
6,2600,150,23,250,150,100,1150,420
6,2650,150,26,250,150,100,1180,420
6,2700,150,30,250,150,100,1210,450
6,2750,150,35,250,150,100,1230,470
6,2800,150,38,250,150,100,1240,470
6,2850,150,41,250,150,100,1270,490
6,2900,149,50,250,150,100,1300,540
6,2950,150,52,250,150,100,1320,550
6,3000,149,57,250,150,100,1330,550
7,0,100,50,250,100,50
7,0,100,50,250,100,50
7,50,87,55,250,100,55,30,40
